teamstatspk;Team;games_played;wins;losses;win_percentage;Min;points;field_goals_made;field_goals_attempted;field_goal_percentage;three_pointers_made;three_pointers_attempted;three_point_percentage;free_throws_made;free_throw_attempted;free_throw_percentage;offensive_rebounds;defensive_rebounds;rebounds;assists;turnovers;steals;blocks;blocks_attempted;personal_fouls;personal_fouls_drawn;plus_minus;season;season_order;Franchise;points_pg;assists_pg;rebounds_pg;three_pa_pg;three_pm_pg
20;Atlanta Hawks;82;36;46;0,439;3971;9703;3529;7584;46,5;1125;3092;36,4;1520;1906;79,7;1024;2639;3663;2180;1110;615;369;461;1522;1594;-179;2023-24;2023;Atlanta Hawks;118,32926829268293;26,585365853658537;44,670731707317074;37,707317073170735;13,71951219512195
21;Brooklyn Nets;82;32;50;0,39;3961;9050;3334;7307;45,6;1089;3010;36,2;1293;1711;75,6;938;2675;3613;2102;1076;556;424;409;1516;1496;-237;2023-24;2023;Brooklyn Nets;110,36585365853658;25,634146341463413;44,0609756097561;36,707317073170735;13,28048780487805
22;Utah Jazz;82;31;51;0,378;3961;9484;3443;7371;46,7;1060;2993;35,4;1538;1853;83,0;1002;2725;3727;2232;1285;537;458;528;1523;1577;-401;2023-24;2023;Utah Jazz;115,65853658536585;27,21951219512195;45,451219512195124;36,5;12,926829268292684
23;Memphis Grizzlies;82;27;55;0,329;3956;8677;3145;7229;43,5;1071;3097;34,6;1316;1722;76,4;896;2598;3494;2025;1236;673;501;535;1563;1539;-574;2023-24;2023;Memphis Grizzlies;105,8170731707317;24,695121951219512;42,609756097560975;37,76829268292683;13,060975609756097
24;Toronto Raptors;82;25;57;0,305;3961;9213;3466;7356;47,1;942;2712;34,7;1339;1772;75,6;891;2607;3498;2335;1147;634;388;474;1509;1487;-528;2023-24;2023;Toronto Raptors;112,35365853658537;28,475609756097562;42,65853658536585;33,073170731707314;11,487804878048781
25;San Antonio Spurs;82;22;60;0,268;3966;9192;3438;7436;46,2;1036;2983;34,7;1280;1637;78,2;849;2778;3627;2449;1242;584;520;380;1414;1470;-532;2023-24;2023;San Antonio Spurs;112,09756097560975;29,865853658536587;44,23170731707317;36,3780487804878;12,634146341463415
26;Charlotte Hornets;82;21;61;0,256;3946;8740;3281;7133;46,0;989;2788;35,5;1189;1512;78,6;765;2538;3303;2033;1129;562;371;396;1472;1432;-840;2023-24;2023;Charlotte Hornets;106,58536585365853;24,79268292682927;40,28048780487805;34,0;12,060975609756097
27;Portland Trail Blazers;82;21;61;0,256;3976;8722;3227;7356;43,9;939;2723;34,5;1329;1680;79,1;1036;2469;3505;1894;1249;627;354;528;1654;1467;-740;2023-24;2023;Portland Trail Blazers;106,36585365853658;23,097560975609756;42,74390243902439;33,207317073170735;11,451219512195122
28;Washington Wizards;82;15;67;0,183;3946;9327;3523;7493;47,0;1015;2915;34,8;1266;1657;76,4;755;2613;3368;2290;1147;623;415;496;1637;1473;-762;2023-24;2023;Washington Wizards;113,7439024390244;27,926829268292682;41,073170731707314;35,548780487804876;12,378048780487806
29;Detroit Pistons;82;14;68;0,171;3951;9010;3353;7236;46,3;906;2602;34,8;1398;1780;78,5;861;2692;3553;2088;1248;531;384;490;1688;1457;-747;2023-24;2023;Detroit Pistons;109,8780487804878;25,463414634146343;43,329268292682926;31,73170731707317;11,048780487804878
30;Milwaukee Bucks;82;58;24;0,707;3966;9589;3504;7411;47,3;1217;3306;36,8;1364;1837;74,3;914;3074;3988;2115;1199;521;403;323;1480;1557;298;2022-23;2022;Milwaukee Bucks;116,9390243902439;25,79268292682927;48,63414634146341;40,31707317073171;14,841463414634147
31;Boston Celtics;82;57;25;0,695;3996;9671;3460;7278;47,5;1315;3492;37,7;1436;1769;81,2;796;2921;3717;2186;1095;521;430;318;1542;1568;535;2022-23;2022;Boston Celtics;117,9390243902439;26,658536585365855;45,329268292682926;42,58536585365854;16,036585365853657
32;Philadelphia 76ers;82;54;28;0,659;3976;9448;3347;6870;48,7;1035;2675;38,7;1719;2058;83,5;715;2641;3356;2063;1121;635;389;380;1675;1607;354;2022-23;2022;Philadelphia 76ers;115,21951219512195;25,158536585365855;40,926829268292686;32,6219512195122;12,621951219512194
33;Denver Nuggets;82;53;29;0,646;3951;9495;3574;7088;50,4;969;2559;37,9;1378;1834;75,1;828;2699;3527;2368;1192;618;368;344;1525;1601;273;2022-23;2022;Denver Nuggets;115,79268292682927;28,878048780487806;43,01219512195122;31,20731707317073;11,817073170731707
34;Cleveland Cavaliers;82;51;31;0,622;3976;9205;3408;6984;48,8;950;2589;36,7;1439;1844;78,0;795;2574;3369;2045;1094;586;384;360;1560;1675;441;2022-23;2022;Cleveland Cavaliers;112,2560975609756;24,9390243902439;41,08536585365854;31,573170731707318;11,585365853658537
35;Memphis Grizzlies;82;51;31;0,622;3956;9587;3585;7551;47,5;985;2807;35,1;1432;1954;73,3;988;2835;3823;2135;1116;680;473;427;1643;1644;323;2022-23;2022;Memphis Grizzlies;116,91463414634147;26,036585365853657;46,6219512195122;34,23170731707317;12,012195121951219
36;Sacramento Kings;82;48;34;0,585;3966;9898;3573;7232;49,4;1128;3060;36,9;1624;2055;79,0;782;2699;3481;2237;1106;574;275;341;1616;1711;217;2022-23;2022;Sacramento Kings;120,70731707317073;27,28048780487805;42,451219512195124;37,31707317073171;13,75609756097561
37;New York Knicks;82;47;35;0,573;3991;9514;3444;7328;47,0;1037;2930;35,4;1589;2087;76,1;1031;2790;3821;1880;1065;527;340;370;1666;1694;240;2022-23;2022;New York Knicks;116,02439024390245;22,926829268292682;46,59756097560975;35,73170731707317;12,646341463414634
38;Brooklyn Nets;82;45;37;0,549;3946;9295;3399;6978;48,7;1048;2771;37,8;1449;1811;80,0;674;2648;3322;2093;1127;585;506;317;1730;1517;70;2022-23;2022;Brooklyn Nets;113,35365853658537;25,524390243902438;40,51219512195122;33,792682926829265;12,78048780487805
39;Phoenix Suns;82;45;37;0,549;3956;9319;3453;7388;46,7;1001;2674;37,4;1412;1781;79,3;971;2657;3628;2235;1110;585;432;327;1739;1629;170;2022-23;2022;Phoenix Suns;113,64634146341463;27,25609756097561;44,24390243902439;32,609756097560975;12,207317073170731
40;Golden State Warriors;82;44;38;0,537;3966;9753;3538;7393;47,9;1363;3540;38,5;1314;1655;79,4;864;2793;3657;2446;1336;588;324;326;1756;1510;148;2022-23;2022;Golden State Warriors;118,9390243902439;29,829268292682926;44,59756097560975;43,170731707317074;16,621951219512194
41;LA Clippers;82;44;38;0,537;3966;9314;3370;7060;47,7;1041;2734;38,1;1533;1962;78,1;803;2742;3545;1959;1167;580;364;344;1598;1606;41;2022-23;2022;LA Clippers;113,58536585365853;23,890243902439025;43,23170731707317;33,34146341463415;12,695121951219512
42;Miami Heat;82;44;38;0,537;3961;8977;3215;6991;46,0;980;2852;34,4;1567;1885;83,1;796;2533;3329;1955;1106;655;243;309;1516;1643;-26;2022-23;2022;Miami Heat;109,47560975609755;23,841463414634145;40,59756097560975;34,78048780487805;11,951219512195122
43;Los Angeles Lakers;82;43;39;0,524;3976;9608;3516;7298;48,2;885;2558;34,6;1691;2182;77,5;818;2930;3748;2072;1154;526;378;416;1466;1760;47;2022-23;2022;Los Angeles Lakers;117,17073170731707;25,26829268292683;45,707317073170735;31,195121951219512;10,792682926829269
44;Minnesota Timberwolves;82;42;40;0,512;3966;9494;3515;7167;49,0;997;2731;36,5;1467;1942;75,5;749;2686;3435;2145;1258;657;444;336;1768;1654;-3;2022-23;2022;Minnesota Timberwolves;115,78048780487805;26,158536585365855;41,890243902439025;33,30487804878049;12,158536585365853
45;New Orleans Pelicans;82;42;40;0,512;3971;9378;3447;7180;48,0;899;2468;36,4;1585;2000;79,3;866;2717;3583;2122;1196;681;337;386;1678;1673;155;2022-23;2022;New Orleans Pelicans;114,36585365853658;25,878048780487806;43,69512195121951;30,097560975609756;10,963414634146341
46;Atlanta Hawks;82;41;41;0,5;3971;9711;3658;7574;48,3;882;2505;35,2;1513;1850;81,8;920;2719;3639;2049;1060;580;401;414;1541;1612;24;2022-23;2022;Atlanta Hawks;118,42682926829268;24,98780487804878;44,3780487804878;30,548780487804876;10,75609756097561
47;Toronto Raptors;82;41;41;0,5;3961;9254;3434;7489;45,9;880;2626;33,5;1506;1922;78,4;1043;2485;3528;1961;956;772;424;376;1641;1604;121;2022-23;2022;Toronto Raptors;112,85365853658537;23,914634146341463;43,02439024390244;32,02439024390244;10,731707317073171
48;Chicago Bulls;82;40;42;0,488;3981;9276;3488;7116;49,0;854;2367;36,1;1446;1788;80,9;694;2779;3473;2006;1097;644;371;389;1551;1537;106;2022-23;2022;Chicago Bulls;113,1219512195122;24,463414634146343;42,353658536585364;28,865853658536587;10,414634146341463
49;Oklahoma City Thunder;82;40;42;0,488;3971;9633;3533;7590;46,5;995;2797;35,6;1572;1944;80,9;934;2646;3580;2002;1070;676;341;454;1722;1675;89;2022-23;2022;Oklahoma City Thunder;117,47560975609755;24,414634146341463;43,65853658536585;34,109756097560975;12,134146341463415
50;Dallas Mavericks;82;38;44;0,463;3986;9366;3283;6909;47,5;1246;3362;37,1;1554;2057;75,5;625;2556;3181;1880;1002;514;304;312;1697;1789;6;2022-23;2022;Dallas Mavericks;114,21951219512195;22,926829268292682;38,792682926829265;41,0;15,195121951219512
51;Utah Jazz;82;37;45;0,451;3961;9600;3485;7365;47,3;1094;3099;35,3;1536;1955;78,6;968;2794;3762;2129;1259;500;429;405;1679;1678;-77;2022-23;2022;Utah Jazz;117,07317073170732;25,963414634146343;45,8780487804878;37,792682926829265;13,341463414634147
52;Indiana Pacers;82;35;47;0,427;3951;9535;3444;7345;46,9;1112;3030;36,7;1535;1944;79,0;832;2575;3407;2213;1224;631;478;438;1741;1660;-261;2022-23;2022;Indiana Pacers;116,28048780487805;26,98780487804878;41,548780487804876;36,951219512195124;13,560975609756097
53;Washington Wizards;82;35;47;0,427;3951;9279;3456;7127;48,5;925;2601;35,6;1442;1838;78,5;774;2804;3578;2083;1158;561;424;406;1539;1590;-99;2022-23;2022;Washington Wizards;113,15853658536585;25,402439024390244;43,63414634146341;31,71951219512195;11,28048780487805
54;Orlando Magic;82;34;48;0,415;3956;9136;3323;7074;47,0;883;2551;34,6;1607;2050;78,4;833;2713;3546;1906;1236;603;382;415;1652;1681;-210;2022-23;2022;Orlando Magic;111,41463414634147;23,24390243902439;43,24390243902439;31,109756097560975;10,768292682926829
55;Portland Trail Blazers;82;33;49;0,402;3946;9299;3317;7001;47,4;1056;2893;36,5;1609;2021;79,6;774;2551;3325;1981;1185;553;376;352;1643;1679;-329;2022-23;2022;Portland Trail Blazers;113,40243902439025;24,158536585365855;40,548780487804876;35,28048780487805;12,878048780487806
56;Charlotte Hornets;82;27;55;0,329;3966;9098;3385;7413;45,7;881;2669;33,0;1447;1932;74,9;901;2751;3652;2062;1164;634;425;471;1661;1667;-512;2022-23;2022;Charlotte Hornets;110,95121951219512;25,146341463414632;44,53658536585366;32,548780487804876;10,74390243902439
57;Houston Rockets;82;22;60;0,268;3951;9081;3329;7287;45,7;856;2619;32,7;1567;2078;75,4;1100;2695;3795;1835;1332;600;374;509;1679;1692;-644;2022-23;2022;Houston Rockets;110,7439024390244;22,378048780487806;46,28048780487805;31,9390243902439;10,439024390243903
58;San Antonio Spurs;82;22;60;0,268;3971;9269;3533;7593;46,5;911;2640;34,5;1292;1739;74,3;965;2619;3584;2232;1253;572;322;431;1630;1516;-823;2022-23;2022;San Antonio Spurs;113,03658536585365;27,21951219512195;43,707317073170735;32,19512195121951;11,109756097560975
59;Detroit Pistons;82;17;65;0,207;3961;9045;3244;7140;45,4;934;2659;35,1;1623;2106;77,1;916;2564;3480;1884;1237;574;308;453;1813;1718;-674;2022-23;2022;Detroit Pistons;110,3048780487805;22,975609756097562;42,4390243902439;32,426829268292686;11,390243902439025
60;Phoenix Suns;82;64;18;0,78;3946;9416;3581;7389;48,5;951;2616;36,4;1303;1635;79,7;801;2913;3714;2244;1060;702;359;327;1633;1553;615;2021-22;2021;Phoenix Suns;114,82926829268293;27,365853658536587;45,292682926829265;31,902439024390244;11,597560975609756
61;Memphis Grizzlies;82;56;26;0,683;3956;9480;3571;7739;46,1;945;2679;35,3;1393;1898;73,4;1159;2873;4032;2131;1082;800;533;496;1620;1625;466;2021-22;2021;Memphis Grizzlies;115,60975609756098;25,98780487804878;49,170731707317074;32,670731707317074;11,524390243902438
62;Golden State Warriors;82;53;29;0,646;3946;9102;3323;7087;46,9;1176;3231;36,4;1280;1665;76,9;800;2930;3730;2223;1221;719;372;317;1723;1474;454;2021-22;2021;Golden State Warriors;111,0;27,109756097560975;45,48780487804878;39,40243902439025;14,341463414634147
63;Miami Heat;82;53;29;0,646;3971;9022;3246;6954;46,7;1114;2936;37,9;1416;1753;80,8;807;2778;3585;2090;1194;606;265;330;1679;1686;365;2021-22;2021;Miami Heat;110,02439024390245;25,48780487804878;43,71951219512195;35,80487804878049;13,585365853658537
64;Dallas Mavericks;82;52;30;0,634;3951;8858;3222;6982;46,1;1073;3063;35,0;1341;1739;77,1;759;2769;3528;1918;1025;552;325;300;1612;1645;271;2021-22;2021;Dallas Mavericks;108,02439024390245;23,390243902439025;43,02439024390244;37,353658536585364;13,085365853658537
65;Boston Celtics;82;51;31;0,622;3981;9164;3341;7167;46,6;1085;3044;35,6;1397;1713;81,6;863;2915;3778;2036;1118;591;478;376;1521;1592;597;2021-22;2021;Boston Celtics;111,7560975609756;24,829268292682926;46,073170731707314;37,1219512195122;13,231707317073171
66;Milwaukee Bucks;82;51;31;0,622;3951;9470;3429;7331;46,8;1153;3151;36,6;1459;1881;77,6;840;2990;3830;1960;1100;623;326;357;1494;1612;275;2021-22;2021;Milwaukee Bucks;115,48780487804878;23,902439024390244;46,707317073170735;38,426829268292686;14,060975609756097
67;Philadelphia 76ers;82;51;31;0,622;3961;9015;3230;6932;46,6;950;2608;36,4;1605;1955;82,1;700;2770;3470;1945;1027;633;435;379;1590;1594;214;2021-22;2021;Philadelphia 76ers;109,9390243902439;23,71951219512195;42,31707317073171;31,804878048780488;11,585365853658537
68;Utah Jazz;82;49;33;0,598;3946;9316;3327;7067;47,1;1192;3308;36,0;1470;1916;76,7;884;2916;3800;1836;1148;588;402;352;1547;1664;495;2021-22;2021;Utah Jazz;113,60975609756098;22,390243902439025;46,34146341463415;40,34146341463415;14,536585365853659
69;Denver Nuggets;82;48;34;0,585;3961;9243;3416;7079;48,3;1039;2944;35,3;1372;1725;79,5;752;2865;3617;2279;1189;592;305;392;1639;1632;189;2021-22;2021;Denver Nuggets;112,71951219512195;27,79268292682927;44,109756097560975;35,90243902439025;12,670731707317072
70;Toronto Raptors;82;48;34;0,585;3971;8970;3332;7489;44,5;979;2808;34,9;1327;1749;75,9;1095;2622;3717;1809;1021;738;376;416;1607;1563;188;2021-22;2021;Toronto Raptors;109,39024390243902;22,0609756097561;45,329268292682926;34,24390243902439;11,939024390243903
71;Chicago Bulls;82;46;36;0,561;3946;9152;3422;7127;48,0;872;2364;36,9;1436;1766;81,3;711;2760;3471;1958;1053;585;336;410;1540;1489;-32;2021-22;2021;Chicago Bulls;111,60975609756098;23,878048780487806;42,329268292682926;28,829268292682926;10,634146341463415
72;Minnesota Timberwolves;82;46;36;0,561;3956;9507;3411;7458;45,7;1211;3386;35,8;1474;1894;77,8;921;2700;3621;2106;1175;721;460;397;1786;1715;216;2021-22;2021;Minnesota Timberwolves;115,9390243902439;25,682926829268293;44,15853658536585;41,292682926829265;14,768292682926829
73;Brooklyn Nets;82;44;38;0,537;3951;9258;3442;7251;47,5;940;2602;36,1;1434;1781;80,5;844;2796;3640;2071;1153;582;448;403;1670;1616;64;2021-22;2021;Brooklyn Nets;112,90243902439025;25,25609756097561;44,390243902439025;31,73170731707317;11,463414634146341
74;Cleveland Cavaliers;82;44;38;0,537;3946;8839;3255;6940;46,9;953;2686;35,5;1376;1810;76,0;837;2786;3623;2064;1181;580;343;380;1433;1638;174;2021-22;2021;Cleveland Cavaliers;107,79268292682927;25,170731707317074;44,18292682926829;32,75609756097561;11,621951219512194
75;Atlanta Hawks;82;43;39;0,524;3941;9343;3401;7241;47,0;1056;2821;37,4;1485;1829;81,2;823;2783;3606;2017;972;587;348;367;1534;1668;128;2021-22;2021;Atlanta Hawks;113,9390243902439;24,597560975609756;43,97560975609756;34,40243902439025;12,878048780487806
76;Charlotte Hornets;82;43;39;0,524;3976;9457;3508;7497;46,8;1143;3130;36,5;1298;1753;74,0;888;2767;3655;2302;1087;707;402;377;1629;1609;36;2021-22;2021;Charlotte Hornets;115,32926829268293;28,073170731707318;44,573170731707314;38,170731707317074;13,939024390243903
77;LA Clippers;82;42;40;0,512;3956;8890;3285;7170;45,8;1047;2802;37,4;1273;1606;79,3;747;2860;3607;1969;1126;608;406;339;1528;1515;2;2021-22;2021;LA Clippers;108,41463414634147;24,01219512195122;43,98780487804878;34,170731707317074;12,768292682926829
78;New York Knicks;82;37;45;0,451;3956;8731;3088;7069;43,7;1082;3029;35,7;1473;1980;74,4;941;2841;3782;1793;1087;570;399;379;1672;1671;-10;2021-22;2021;New York Knicks;106,47560975609755;21,865853658536587;46,1219512195122;36,9390243902439;13,195121951219512
79;New Orleans Pelicans;82;36;46;0,439;3951;8962;3294;7212;45,7;873;2629;33,2;1501;1903;78,9;981;2726;3707;2047;1153;680;328;391;1612;1681;-81;2021-22;2021;New Orleans Pelicans;109,29268292682927;24,963414634146343;45,207317073170735;32,0609756097561;10,646341463414634
80;Washington Wizards;82;35;47;0,427;3966;8907;3327;7056;47,2;860;2512;34,2;1393;1778;78,3;737;2798;3535;2052;1077;522;406;344;1545;1634;-277;2021-22;2021;Washington Wizards;108,6219512195122;25,024390243902438;43,109756097560975;30,634146341463413;10,487804878048781
81;San Antonio Spurs;82;34;48;0,415;3961;9279;3546;7601;46,7;925;2626;35,2;1262;1673;75,4;901;2815;3716;2289;1043;626;403;403;1483;1553;10;2021-22;2021;San Antonio Spurs;113,15853658536585;27,914634146341463;45,31707317073171;32,02439024390244;11,28048780487805
82;Los Angeles Lakers;82;33;49;0,402;3996;9192;3415;7279;46,9;982;2826;34,7;1380;1884;73,2;782;2826;3608;1968;1191;626;425;338;1654;1647;-250;2021-22;2021;Los Angeles Lakers;112,09756097560975;24,0;44,0;34,46341463414634;11,975609756097562
83;Sacramento Kings;82;30;52;0,366;3961;9045;3321;7223;46,0;937;2722;34,4;1466;1908;76,8;784;2737;3521;1943;1156;588;369;395;1552;1665;-448;2021-22;2021;Sacramento Kings;110,3048780487805;23,695121951219512;42,9390243902439;33,19512195121951;11,426829268292684
84;Portland Trail Blazers;82;27;55;0,329;3946;8711;3161;7144;44,2;1043;3017;34,6;1346;1771;76,0;854;2661;3515;1880;1187;657;366;409;1728;1589;-728;2021-22;2021;Portland Trail Blazers;106,23170731707317;22,926829268292682;42,86585365853659;36,792682926829265;12,71951219512195
85;Indiana Pacers;82;25;57;0,305;3976;9140;3398;7338;46,3;997;2899;34,4;1347;1754;76,8;925;2671;3596;2081;1183;582;457;401;1675;1575;-285;2021-22;2021;Indiana Pacers;111,46341463414635;25,378048780487806;43,853658536585364;35,353658536585364;12,158536585365853
86;Oklahoma City Thunder;82;24;58;0,293;3961;8506;3141;7310;43,0;991;3066;32,3;1233;1632;75,6;854;2887;3741;1822;1145;622;380;490;1497;1462;-664;2021-22;2021;Oklahoma City Thunder;103,73170731707317;22,21951219512195;45,6219512195122;37,390243902439025;12,085365853658537
87;Detroit Pistons;82;23;59;0,28;3956;8596;3129;7267;43,1;925;2838;32,6;1413;1806;78,2;900;2625;3525;1924;1163;630;393;427;1799;1625;-633;2021-22;2021;Detroit Pistons;104,82926829268293;23,463414634146343;42,98780487804878;34,609756097560975;11,28048780487805
88;Orlando Magic;82;22;60;0,268;3956;8547;3139;7240;43,4;999;3022;33,1;1270;1614;78,7;746;2885;3631;1947;1188;555;367;428;1612;1501;-656;2021-22;2021;Orlando Magic;104,23170731707317;23,74390243902439;44,28048780487805;36,853658536585364;12,182926829268293
89;Houston Rockets;82;20;62;0,244;3951;8997;3229;7083;45,6;1105;3170;34,9;1434;2010;71,3;786;2660;3446;1932;1351;600;382;474;1692;1812;-695;2021-22;2021;Houston Rockets;109,71951219512195;23,5609756097561;42,02439024390244;38,65853658536585;13,475609756097562
90;Utah Jazz;72;52;20;0,722;3471;8382;2971;6344;46,8;1205;3098;38,9;1235;1546;79,9;765;2709;3474;1703;1023;474;371;282;1335;1365;666;2020-21;2020;Utah Jazz;116,41666666666667;23,65277777777778;48,25;43,02777777777778;16,73611111111111
91;Phoenix Suns;72;51;21;0,708;3496;8300;3118;6357;49,0;940;2490;37,8;1124;1347;83,4;630;2462;3092;1939;902;517;312;258;1374;1294;419;2020-21;2020;Phoenix Suns;115,27777777777777;26,930555555555557;42,94444444444444;34,583333333333336;13,055555555555555
92;Philadelphia 76ers;72;49;23;0,681;3486;8182;2981;6257;47,6;811;2169;37,4;1409;1836;76,7;722;2522;3244;1706;1040;655;447;335;1456;1509;402;2020-21;2020;Philadelphia 76ers;113,63888888888889;23,694444444444443;45,05555555555556;30,125;11,26388888888889
93;Brooklyn Nets;72;48;24;0,667;3481;8537;3106;6289;49,4;1020;2600;39,2;1305;1623;80,4;640;2559;3199;1929;975;484;379;330;1371;1361;324;2020-21;2020;Brooklyn Nets;118,56944444444444;26,791666666666668;44,43055555555556;36,111111111111114;14,166666666666666
94;Denver Nuggets;72;47;25;0,653;3496;8284;3114;6422;48,5;927;2462;37,7;1129;1406;80,3;758;2442;3200;1933;972;582;323;325;1374;1379;355;2020-21;2020;Denver Nuggets;115,05555555555556;26,84722222222222;44,44444444444444;34,19444444444444;12,875
